L1    (CLK0)              : INPUT     :  1 1 0 1 1 1 1 0 0 0 1 0 1 1 1 1 0 ! 

L2    (CLK1)              : INPUT     :  1 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 0 ! 

D12   (CLK10)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

E12   (CLK11)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

V12   (CLK12)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

W12   (CLK13)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

U12   (CLK14)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

U11   (CLK15)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

M1    (CLK2)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

M2    (CLK3)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

L22   (CLK4)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

L21   (CLK5)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

M22   (CLK6)              : INPUT     :  0 1 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 ! 

M21   (CLK7)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

B12   (CLK8)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

A12   (CLK9)              : INPUT     :  0 1 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 ! 

K4    (DATA0)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

L6    (DCLK)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
L6    (DCLK)              : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
L6    (DCLK)              : CONTROL   :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

A10   (IOA10)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A10   (IOA10)             : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A10   (IOA10)             : CONTROL   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

A11   (IOA11)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A11   (IOA11)             : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A11   (IOA11)             : CONTROL   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

A13   (IOA13)             : INPUT     :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A13   (IOA13)             : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A13   (IOA13)             : CONTROL   :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

A14   (IOA14)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A14   (IOA14)             : OUTPUT3   :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A14   (IOA14)             : CONTROL   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

A15   (IOA15)             : INPUT     :  0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 ! 
A15   (IOA15)             : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A15   (IOA15)             : CONTROL   :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

A16   (IOA16)             : INPUT     :  0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 ! 
A16   (IOA16)             : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 ! 
A16   (IOA16)             : CONTROL   :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

A17   (IOA17)             : INPUT     :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A17   (IOA17)             : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A17   (IOA17)             : CONTROL   :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

A18   (IOA18)             : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A18   (IOA18)             : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A18   (IOA18)             : CONTROL   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

A19   (IOA19)             : INPUT     :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A19   (IOA19)             : OUTPUT3   :  0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 ! 
A19   (IOA19)             : CONTROL   :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

A20   (IOA20)             : INPUT     :  0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 ! 
A20   (IOA20)             : OUTPUT3   :  0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0 0 ! 
A20   (IOA20)             : CONTROL   :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

A3    (IOA3)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A3    (IOA3)              : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A3    (IOA3)              : CONTROL   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

A4    (IOA4)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A4    (IOA4)              : OUTPUT3   :  1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 ! 
A4    (IOA4)              : CONTROL   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

A5    (IOA5)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A5    (IOA5)              : OUTPUT3   :  1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 ! 
A5    (IOA5)              : CONTROL   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

A6    (IOA6)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A6    (IOA6)              : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A6    (IOA6)              : CONTROL   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

A7    (IOA7)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
A7    (IOA7)              : OUTPUT3   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
A7    (IOA7)              : CONTROL   :  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

A8    (IOA8)              : INPUT     :  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
